completion_time,description,paid_in,withdrawn,balance
2023-05-12 19:09:03,Customer Transfer,,-90.0,22061.2
2023-05-12 19:03:52,Customer Transfer,,-6.0,22151.2
2023-05-12 19:03:52,Customer Transfer,,-200.0,22157.2
2023-05-12 18:57:47,Merchant Payment,,-295.0,22357.2
2023-05-12 11:09:00,Customer Transfer,,-12.0,22652.2
2023-05-12 11:09:00,Customer Transfer,,-800.0,22664.2
2023-05-11 18:50:05,Customer Transfer,,-60.0,23464.2
2023-05-11 18:47:36,Customer Transfer,,-100.0,23524.2
2023-05-11 18:41:48,Merchant Payment,,-100.0,23624.2
2023-05-11 17:51:55,Customer Transfer,,-22.0,23724.2
2023-05-11 17:51:55,Customer Transfer,,-1295.0,23746.2
2023-05-10 21:36:20,Merchant Payment,,-900.0,25041.2
2023-05-10 21:30:03,Merchant Payment,,-250.0,25941.2
2023-05-10 20:23:27,Merchant Payment,,-2710.0,26191.2
2023-05-10 18:53:15,Customer Transfer,,-6.0,28901.2
2023-05-10 18:53:15,Customer Transfer,,-400.0,28907.2
2023-05-10 16:17:12,Customer Transfer,,-12.0,29307.2
2023-05-10 16:17:12,Customer Transfer,,-1000.0,29319.2
2023-05-10 05:58:30,Business Payment,26647.0,,30319.2
2023-05-09 20:20:52,Customer Transfer,,-12.0,3672.2
2023-05-09 20:20:52,Customer Transfer,,-1000.0,3684.2
2023-05-09 20:12:35,Merchant Payment,,-40.0,4684.2
2023-05-09 18:00:13,Merchant Payment,,-2300.0,4724.2
2023-05-09 17:59:01,Customer Transfer,,-100.0,7024.2
2023-05-09 17:57:22,Customer Transfer,,-97.0,7124.2
2023-05-09 17:57:22,Customer Transfer,,-12000.0,7221.2
2023-05-09 17:27:54,Merchant Payment,,-1220.0,19221.2
2023-05-08 18:46:41,Merchant Payment,,-690.0,20441.2
2023-05-07 19:35:58,Customer Transfer,,-6.0,21131.2
2023-05-07 19:35:58,Customer Transfer,,-310.0,21137.2
2023-05-07 18:51:47,Customer Transfer,,-55.0,21447.2
2023-05-07 18:51:47,Customer Transfer,,-4000.0,21502.2
2023-05-07 18:46:46,Merchant Payment,,-2300.0,25502.2
2023-05-07 18:45:08,Customer Transfer,,-50.0,27802.2
2023-05-07 06:22:22,Business Payment,26568.0,,27852.2
2023-05-06 15:55:01,Customer Transfer,,-70.0,1284.2
2023-05-06 15:53:15,Merchant Payment,,-196.0,1354.2
2023-05-06 15:45:01,Customer Transfer,,-80.0,1550.2
2023-05-05 19:10:39,Customer Transfer,,-80.0,1630.2
2023-05-04 20:14:33,Customer Transfer,,-68.0,1710.2
2023-05-04 20:12:30,Customer Transfer,,-6.0,1778.2
2023-05-04 20:12:30,Customer Transfer,,-140.0,1784.2
2023-05-04 19:57:19,Merchant Payment,,-500.0,1924.2
2023-05-04 03:02:18,Merchant Payment,,-500.0,2424.2
2023-05-04 02:40:38,Merchant Payment,,-5100.0,2924.2
2023-05-04 01:37:13,Customer Transfer,,-51.0,8024.2
2023-05-04 01:37:13,Customer Transfer,,-3000.0,8075.2
2023-05-04 01:24:51,Customer Transfer,,-51.0,11075.2
2023-05-04 01:24:51,Customer Transfer,,-3000.0,11126.2
2023-05-03 14:46:57,Customer Transfer,,-6.0,14126.2
2023-05-03 14:46:57,Customer Transfer,,-450.0,14132.2
2023-05-03 03:21:56,Pay Bill,,-3499.0,14582.2
2023-05-03 03:04:41,Pay Bill,,-65.0,18081.2
2023-05-03 03:04:41,Pay Bill,,-22000.0,18146.2
2023-05-02 18:07:10,Customer Transfer,,-6.0,40146.2
2023-05-02 18:07:10,Customer Transfer,,-150.0,40152.2
2023-05-02 18:01:57,Merchant Payment,,-750.0,40302.2
2023-05-02 17:59:28,Customer Transfer,,-12.0,41052.2
2023-05-02 17:59:28,Customer Transfer,,-750.0,41064.2
2023-05-01 14:57:30,Customer Transfer,,-6.0,41814.2
2023-05-01 14:57:30,Customer Transfer,,-140.0,41820.2
2023-05-01 14:48:01,Customer Transfer,,-6.0,41960.2
2023-05-01 14:48:01,Customer Transfer,,-300.0,41966.2
2023-05-01 07:18:06,Business Payment,39966.0,,42266.2
2023-04-29 15:14:16,Send Money,,-500.0,2300.2
2023-04-29 15:10:48,Funds received,500.0,,2800.2
2023-04-28 16:53:31,Customer Transfer,,-6.0,2300.2
2023-04-28 16:53:31,Customer Transfer,,-300.0,2306.2
2023-04-28 15:46:56,Customer Transfer,,-6.0,2606.2
2023-04-28 15:46:56,Customer Transfer,,-230.0,2612.2
2023-04-28 15:29:37,Pay Bill,,-50.0,2842.2
2023-04-28 15:26:30,Merchant Payment,,-657.0,2892.2
2023-04-26 13:56:13,Customer Transfer,,-100.0,3549.2
2023-04-25 22:13:04,Business Payment,1000.0,,3649.2
2023-04-25 18:26:33,Customer Transfer,,-68.0,2649.2
2023-04-25 18:23:58,Pay Bill,,-4.0,2717.2
2023-04-25 18:23:58,Pay Bill,,-185.0,2721.2
2023-04-24 14:40:58,Merchant Payment,,-100.0,2906.2
2023-04-23 16:57:03,Merchant Payment,,-320.0,3006.2
2023-04-22 13:16:14,Airtime Purchase,,-150.0,3326.2
2023-04-22 13:10:37,Airtime Purchase,,-100.0,3476.2
2023-04-22 12:55:20,Airtime Purchase,,-100.0,3576.2
2023-04-21 21:18:00,Merchant Payment,,-100.0,3676.2
2023-04-21 21:14:13,Merchant Payment,,-800.0,3776.2
2023-04-21 12:00:10,Customer Transfer,,-32.0,4576.2
2023-04-21 12:00:10,Customer Transfer,,-2000.0,4608.2
2023-04-21 11:25:14,Merchant Payment,,-300.0,6608.2
2023-04-19 19:34:01,Merchant Payment,,-155.0,6908.2
2023-04-18 17:07:24,Customer Transfer,,-6.0,7063.2
2023-04-18 17:07:24,Customer Transfer,,-300.0,7069.2
2023-04-18 16:43:44,Pay Bill,,-4.0,7369.2
2023-04-18 16:43:44,Pay Bill,,-300.0,7373.2
2023-04-18 16:19:46,Merchant Payment,,-100.0,7673.2
2023-04-17 15:07:00,Merchant Payment,,-690.0,8524.2
2023-04-16 17:32:48,Airtime Purchase,,-100.0,9214.2
2023-04-16 17:19:47,Merchant Payment,,-160.0,9314.2
2023-04-14 19:20:49,Merchant Payment,,-100.0,9474.2
2023-04-14 17:56:14,Airtime Purchase,,-100.0,9574.2
2023-04-13 17:46:43,Customer Transfer,,-6.0,9674.2
2023-04-13 17:46:43,Customer Transfer,,-240.0,9680.2
2023-04-13 17:43:21,Customer Transfer,,-80.0,9920.2
2023-04-13 17:32:18,Merchant Payment,,-400.0,10000.2
2023-04-12 23:10:14,Pay Bill,,-9.0,10400.2
2023-04-12 23:10:14,Pay Bill,,-1000.0,10409.2
2023-04-12 23:08:21,Savings Contribution,,-25.0,11409.2
